dataset,n,rho_pipeline,ev1,ev2,ev3,gap_ev2_ev3,rho_min,rho_max,rho_std,n_distinct_rho
pancreas,15,0.7646138259428255,1.0,0.9077606,0.78805125,0.11970937252044678,0.7646138259428255,0.7646138259428255,1.1102230246251565e-16,1
gastrulation,11,0.16049166881048924,1.0,1.0,0.6562455,0.34375447034835815,0.009440686400617012,0.8213397168536801,0.1931973338971853,110
gastrulation_erythroid,8,0.617707763884251,1.0,1.0,0.41677567,0.5832242965698242,0.5188745216627709,0.9636241116594317,0.1140478954309689,27
hemogenic_endothelium,15,0.18337789119845432,1.0,1.0,0.7340901,0.26590991020202637,0.18337789119845432,0.7746780301648989,0.1287836258698254,142
bonemarrow,20,0.089044445037695,1.0,0.9889747,0.80646104,0.18251365423202515,0.089044445037695,0.089044445037695,2.7755575615628914e-17,1
paul15,8,0.19155354158954888,1.0,1.0,0.9814128,0.018587172031402588,0.012770236105969923,0.6002010969805864,0.14675641902333786,33
dentategyrus,5,0.35909242322980395,1.0,0.99999994,0.7373096,0.26269036531448364,0.051298917604257706,0.9746794344808964,0.295321657419285,12
endoderm_diff,7,0.6614378277661478,1.0,1.0,0.65429574,0.34570425748825073,0.3779644730092273,0.9449111825230683,0.14726524231294214,7
gastrulation_e75,14,0.1258149779897113,1.0,0.9672288,0.85537624,0.11185252666473389,0.1258149779897113,0.1258149779897113,0.0,1
