dataset,n_markers,PRISM_K5,DPT,GT_EV,GT_extract,GT_ext_n,GT_best_traj,best_which,best_n
pancreas,15,0.7419586014704455,0.9118727850132956,0.7759414381790154,0.650213213321002,14,0.3651483716701107,Trajectory-2,9
gastrulation,11,0.7977380008521376,0.802458344052446,0.9157465808598502,,2,,,0
gastrulation_erythroid,8,0.9265616458263766,0.9636241116594317,0.22237479499833038,0.9636241116594317,8,0.9486832980505138,Trajectory-2,5
hemogenic_endothelium,15,0.7728068271934861,0.5463912676525374,0.7597084063935966,0.23390037142659992,15,0.8944271909999159,Trajectory-1,4
bonemarrow,20,0.9065645654268776,0.91884655784587,0.8190553694415565,0.1972695698532654,12,0.5778855963970647,Trajectory-1,11
gastrulation_e75,14,0.06176371646767648,0.5490108130460131,0.5947617141331808,0.19789451795984947,11,0.8660254037844387,Trajectory-2,3
paul15,8,0.664052277510436,,0.14047259716566915,0.038310708317909774,8,0.038310708317909774,Trajectory-1,8
dentategyrus,5,0.5642880936468347,,0.9746794344808964,0.7378647873726218,4,,,0
endoderm_diff,7,0.7559289460184546,,0.7559289460184546,0.47245559126153414,7,0.5773502691896257,Trajectory-1,5
