gene,canonical_rank,PRISM_K5_StepII,Expression_magnitude,GeneTrajectory,GeneTrajectory_EV
POU5F1,0,0.69643372058268,17.772727272727273,173.0,0.009958722966595081
NANOG,0,0.6919999813193821,6.711462450592886,177.0,0.010687874206420145
MIXL1,1,-0.0853413870686384,4.886363636363637,302.0,-0.005850755859227081
GSC,1,-0.0814071309810235,0.5543478260869565,316.0,-0.0077564183277447
SOX17,2,-0.0889443438877695,5.660079051383399,310.0,-0.008629861826586463
FOXA2,2,-0.0837503619372032,0.1551383399209486,291.0,-0.006987720387588244
CXCR4,2,-0.085326466783414,2.535573122529644,285.0,-0.006045088102663024
