dataset,variant,seed,coherence,coverage,strength,n_sig
pbmc3k,PRISM_opt0,0,0.3561571308135948,0.8900584795321637,4.571168000116527,369
pbmc3k,PRISM_opt0,1,0.3661722860610604,0.927251461988304,4.663551074427976,356
pbmc3k,PRISM_opt0,2,0.3629321591417232,0.9100877192982456,4.430432319286535,380
pbmc3k,PRISM_opt0,3,0.3629321591417231,0.9100877192982456,4.430432319286535,380
pbmc3k,PRISM_opt0,4,0.3590178545637618,0.9405847953216372,4.7993579553716375,378
pbmc3k,PRISM_opt0,5,0.3560198659139627,0.9300584795321636,4.920901100402597,379
pbmc3k,PRISM_opt0,6,0.3652564051187143,0.8605847953216375,4.57184462753394,365
pbmc3k,PRISM_opt0,7,0.3834252990811418,0.8824148606811144,5.8016232139051365,381
pbmc3k,PRISM_opt0,8,0.3587186485189263,0.896140350877193,4.649905759351838,344
pbmc3k,PRISM_opt0,9,0.3410774141106724,0.8934571723426213,4.017426212308317,341
pbmc3k,MALLET_opt0,0,0.3634506053466148,0.907251461988304,4.60329508161316,375
pbmc3k,MALLET_opt0,1,0.3568594878236706,0.8831501547987616,4.071431360526747,371
pbmc3k,MALLET_opt0,2,0.36334881455403,0.9056140350877192,4.506914607890501,378
pbmc3k,MALLET_opt0,3,0.365787946670551,0.908421052631579,4.402017436144805,378
pbmc3k,MALLET_opt0,4,0.359265378188501,0.9005847953216375,4.638065998547711,376
pbmc3k,MALLET_opt0,5,0.3544885425866712,0.9090058479532164,4.403194250320752,488
pbmc3k,MALLET_opt0,6,0.3630954245618175,0.9405847953216372,4.662064662618098,499
pbmc3k,MALLET_opt0,7,0.3897576953831194,0.8735913312693497,5.799861309753735,381
pbmc3k,MALLET_opt0,8,0.3592603698442077,0.9405847953216372,4.557617734237777,514
pbmc3k,MALLET_opt0,9,0.365787946670551,0.908421052631579,4.402017436144804,378
pbmc3k,MALLET_opt10,0,0.3277022539500839,0.9541666666666666,7.1270022640365,262
pbmc3k,MALLET_opt10,1,0.3283469625681786,0.9875,7.039075675186298,261
pbmc3k,MALLET_opt10,2,0.3277022539500839,0.9541666666666668,7.1270022640365,262
pbmc3k,MALLET_opt10,3,0.3277022539500839,0.9541666666666666,7.1270022640365,262
pbmc3k,MALLET_opt10,4,0.3277022539500839,0.9541666666666668,7.1270022640365,262
pbmc3k,MALLET_opt10,5,0.3277022539500839,0.9541666666666666,7.1270022640365,262
pbmc3k,MALLET_opt10,6,0.3277022539500839,0.9541666666666666,7.1270022640365,262
pbmc3k,MALLET_opt10,7,0.3277022539500839,0.9541666666666666,7.1270022640365,262
pbmc3k,MALLET_opt10,8,0.3277022539500839,0.9541666666666666,7.1270022640365,262
pbmc3k,MALLET_opt10,9,0.3277022539500839,0.9541666666666668,7.1270022640365,262
pbmc3k,NMF,0,0.2929662543704756,0.944248366013072,4.58027879672671,433
pbmc3k,NMF,1,0.2929662543704756,0.944248366013072,4.58027879672671,433
pbmc3k,NMF,2,0.2929662543704756,0.944248366013072,4.58027879672671,433
pbmc3k,NMF,3,0.2929662543704756,0.944248366013072,4.58027879672671,433
pbmc3k,NMF,4,0.2929662543704756,0.944248366013072,4.58027879672671,433
pbmc3k,NMF,5,0.2929662543704756,0.944248366013072,4.58027879672671,433
pbmc3k,NMF,6,0.2929662543704756,0.944248366013072,4.58027879672671,433
pbmc3k,NMF,7,0.2929662543704756,0.944248366013072,4.58027879672671,433
pbmc3k,NMF,8,0.2929662543704756,0.944248366013072,4.58027879672671,433
pbmc3k,NMF,9,0.2929662543704756,0.944248366013072,4.58027879672671,433
pbmc3k,cNMF,0,0.3502156281734897,0.8134674922600619,4.042467304219564,168
pbmc3k,cNMF,1,0.3502156281734897,0.8134674922600619,4.042467304219564,168
pbmc3k,cNMF,2,0.3502156281734897,0.8134674922600619,4.042467304219564,168
pbmc3k,cNMF,3,0.3502156281734897,0.8134674922600619,4.042467304219564,168
pbmc3k,cNMF,4,0.3502156281734897,0.8134674922600619,4.042467304219564,168
pbmc3k,cNMF,5,0.3502156281734897,0.8134674922600619,4.042467304219564,168
pbmc3k,cNMF,6,0.3502156281734897,0.8134674922600619,4.042467304219564,168
pbmc3k,scHPF,0,0.3305840140853213,0.9293300653594772,5.35744528868978,290
pbmc3k,scHPF,1,0.3145861022196561,0.9291666666666666,5.506949525492173,376
pbmc3k,scHPF,2,0.3303888451973156,0.9658625730994151,5.166558119145926,374
pbmc3k,scHPF,3,0.311070138295292,0.9168300653594772,5.963935155968301,367
pbmc3k,scHPF,4,0.3056067532302361,0.893954248366013,5.210120215075299,314
pbmc3k,scHPF,5,0.3121053230895231,0.9180555555555556,4.977932922959335,417
pbmc3k,scHPF,6,0.3182056012796646,0.9430555555555556,4.572400133714682,359
pbmc3k,scHPF,7,0.3488722544563568,0.9504575163398692,4.413467407188951,434
pbmc3k,scHPF,8,0.3031552597466266,0.9882352941176472,5.192662039072676,407
pbmc3k,scHPF,9,0.3220614411272047,0.918218954248366,4.506415452341959,375
pbmc3k,ProdLDA,0,0.2327664337250602,0.8188888888888888,3.60197222550548,154
pbmc3k,ProdLDA,1,0.2054698367143929,1.0,3.7148674099765184,303
pbmc3k,ProdLDA,2,0.341704580533929,0.9642857142857144,3.953495285380346,286
pbmc3k,ProdLDA,3,0.2113108998480209,0.8523809523809524,1.816029158541164,329
pbmc3k,ProdLDA,4,0.227419925998962,1.0,1.7526323443747458,258
pbmc3k,ProdLDA,5,0.2270545605108547,0.9377777777777776,3.1731344889887465,191
pbmc3k,ProdLDA,6,0.236407532429253,0.8767857142857143,1.7122362918636065,149
pbmc3k,ProdLDA,7,0.244696608037469,0.8,3.973482463633699,158
pbmc3k,ProdLDA,8,0.2993040781139294,0.8,2.9591030373771856,236
pbmc3k,ProdLDA,9,0.2690083588832823,0.9375,2.208140536809639,201
breast_cancer,PRISM_opt0,0,0.2802199649061971,,,0
breast_cancer,PRISM_opt0,1,0.2817693986288618,,,0
breast_cancer,PRISM_opt0,2,0.2806813956071056,,,0
breast_cancer,PRISM_opt0,3,0.281450729224762,,,0
breast_cancer,PRISM_opt0,4,0.2775145105729418,,,0
breast_cancer,PRISM_opt0,5,0.279487244397667,,,0
breast_cancer,PRISM_opt0,6,0.279710236647409,,,0
breast_cancer,PRISM_opt0,7,0.2810698627875,,,0
breast_cancer,PRISM_opt0,8,0.2783176962115491,,,0
breast_cancer,PRISM_opt0,9,0.2783120305605145,,,0
breast_cancer,MALLET_opt0,0,0.2768149977998949,,,0
breast_cancer,MALLET_opt0,1,0.2817693986288618,,,0
breast_cancer,MALLET_opt0,2,0.2654496120745452,,,0
breast_cancer,MALLET_opt0,3,0.2753337582954001,,,0
breast_cancer,MALLET_opt0,4,0.2779113486994908,,,0
breast_cancer,MALLET_opt0,5,0.2809458639853052,,,0
breast_cancer,MALLET_opt0,6,0.2805738109400056,,,0
breast_cancer,MALLET_opt0,7,0.2669859406624327,,,0
breast_cancer,MALLET_opt0,8,0.2779043959686861,,,0
breast_cancer,MALLET_opt0,9,0.2786597952135497,,,0
breast_cancer,MALLET_opt10,0,0.2662774005844174,,,0
breast_cancer,MALLET_opt10,1,0.2696042724693265,,,0
breast_cancer,MALLET_opt10,2,0.2665727737118291,,,0
breast_cancer,MALLET_opt10,3,0.264217128319019,,,0
breast_cancer,MALLET_opt10,4,0.2680903671267506,,,0
breast_cancer,MALLET_opt10,5,0.2670835917642752,,,0
breast_cancer,MALLET_opt10,6,0.2662361954377478,,,0
breast_cancer,MALLET_opt10,7,0.266572773711829,,,0
breast_cancer,MALLET_opt10,8,0.2680903671267506,,,0
breast_cancer,MALLET_opt10,9,0.2688027855851772,,,0
breast_cancer,NMF,0,0.2859779790264508,,,0
breast_cancer,NMF,1,0.2859779790264508,,,0
breast_cancer,NMF,2,0.2859779790264508,,,0
breast_cancer,NMF,3,0.2859779790264508,,,0
breast_cancer,NMF,4,0.2859779790264508,,,0
breast_cancer,NMF,5,0.2859779790264508,,,0
breast_cancer,NMF,6,0.2859779790264508,,,0
breast_cancer,NMF,7,0.2859779790264508,,,0
breast_cancer,NMF,8,0.2859779790264508,,,0
breast_cancer,NMF,9,0.2859779790264508,,,0
breast_cancer,cNMF,0,0.2694790507566342,0.3842105263157894,1.841360072025828,3
breast_cancer,cNMF,1,0.2694790507566342,0.3842105263157894,1.841360072025828,3
breast_cancer,cNMF,2,0.2694790507566342,0.3842105263157894,1.841360072025828,3
breast_cancer,cNMF,3,0.2694790507566342,0.3842105263157894,1.841360072025828,3
breast_cancer,cNMF,4,0.2694790507566342,0.3842105263157894,1.841360072025828,3
breast_cancer,cNMF,5,0.2694790507566342,0.3842105263157894,1.841360072025828,3
breast_cancer,cNMF,6,0.2694790507566342,0.3842105263157894,1.841360072025828,3
breast_cancer,cNMF,7,0.2694790507566342,0.3842105263157894,1.841360072025828,3
breast_cancer,cNMF,8,0.2694790507566342,0.3842105263157894,1.841360072025828,3
breast_cancer,cNMF,9,0.2694790507566342,0.3842105263157894,1.841360072025828,3
breast_cancer,scHPF,0,0.2608636799120765,,,0
breast_cancer,scHPF,1,0.2674338684656975,,,0
breast_cancer,scHPF,2,0.2631107341499611,,,0
breast_cancer,scHPF,3,0.2712611708878675,,,0
breast_cancer,scHPF,4,0.2675561801846378,,,0
breast_cancer,scHPF,5,0.2731450791532689,,,0
breast_cancer,scHPF,6,0.257586526826502,,,0
breast_cancer,scHPF,7,0.2676981451333977,,,0
breast_cancer,scHPF,8,0.2685248071603346,,,0
