gene,canonical_rank,PRISM_K5_StepII,Expression_magnitude,GeneTrajectory,GeneTrajectory_EV
Sox2,0,-0.5173690953615268,0.0423208191126279,13.0,-0.0265271642665089
Hes5,0,-0.5422872185258204,0.1993174061433447,24.0,-0.0330761089775801
Eomes,1,0.4516225992214356,0.0058020477815699,60.0,0.0014023386614362
Neurod6,2,0.4188759814547678,0.2419795221843003,50.0,0.0019135166516701
Snap25,3,0.242556656930096,2.0631399317406145,,0.0040860074245296
